x,y
0.234375,0.9420893
0.234375,0.9420893
0.23546132,0.94171133
0.23546132,0.94171133
0.23691262,0.94121239
0.23691262,0.94121239
0.2375,0.94100927
0.2375,0.94100927
0.23778836,0.94091337
0.23778836,0.94091337
0.23866017,0.94062501
0.23866017,0.94062501
0.24013691,0.94013693
0.24013691,0.94013693
0.24062499,0.93997691
0.24062499,0.93997691
0.24157302,0.93967698
0.24157302,0.93967698
0.24250592,0.93938092
0.24250592,0.93938092
0.24375001,0.93898845
0.24375001,0.93898845
0.24489035,0.93864035
0.24489035,0.93864035
0.24610144,0.93827356
0.24610144,0.93827356
0.246875,0.93803829
0.246875,0.93803829
0.24729107,0.93791607
0.24729107,0.93791607
0.2487186,0.9375
0.2487186,0.9375
0.24971094,0.93721094
0.24971094,0.93721094
0.25,0.93712728
0.25,0.93712728
0.25051703,0.93698297
0.25051703,0.93698297
0.25215029,0.93652528
0.25215029,0.93652528
0.25312501,0.93625405
0.25312501,0.93625405
0.25460553,0.93585553
0.25460553,0.93585553
0.25482955,0.93579544
0.25482955,0.93579544
0.25624999,0.93541368
0.25624999,0.93541368
0.25707427,0.93519927
0.25707427,0.93519927
0.25906321,0.93468678
0.25906321,0.93468678
0.25937501,0.934606
0.25937501,0.934606
0.2595599,0.93455988
0.2595599,0.93455988
0.26030347,0.93437499
0.26030347,0.93437499
0.26206259,0.93393759
0.26206259,0.93393759
0.26249999,0.93382955
0.26249999,0.93382955
0.26321647,0.93365851
0.26321647,0.93365851
0.2645817,0.93333169
0.2645817,0.93333169
0.265625,0.93308305
0.265625,0.93308305
0.26711509,0.93274007
0.26711509,0.93274007
0.26730296,0.93269703
0.26730296,0.93269703
0.26875001,0.93236453
0.26875001,0.93236453
0.2696618,0.93216178
0.2696618,0.93216178
0.2713331,0.93179188
0.2713331,0.93179188
0.27187499,0.93167158
0.27187499,0.93167158
0.27222218,0.93159717
0.27222218,0.93159717
0.27385123,0.93124998
0.27385123,0.93124998
0.27479824,0.93104822
0.27479824,0.93104822
0.27500001,0.93100539
0.27500001,0.93100539
0.27530764,0.93094235
0.27530764,0.93094235
0.27738926,0.93051425
0.27738926,0.93051425
0.27812499,0.93036374
0.27812499,0.93036374
0.27922983,0.93014516
0.27922983,0.93014516
0.27999376,0.92999376
0.27999376,0.92999376
0.28125,0.92974543
0.28125,0.92974543
0.2826105,0.9294855
0.2826105,0.9294855
0.2831094,0.92939061
0.2831094,0.92939061
0.28437501,0.92914916
0.28437501,0.92914916
0.28523968,0.92898968
0.28523968,0.92898968
0.2869499,0.92867511
0.2869499,0.92867511
0.28749999,0.92857374
0.28749999,0.92857374
0.28788083,0.92850585
0.28788083,0.92850585
0.29002937,0.92812502
0.29002937,0.92812502
0.29053535,0.92803536
0.29053535,0.92803536
0.29062501,0.92801952
0.29062501,0.92801952
0.2907522,0.92799783
0.2907522,0.92799783
0.29320358,0.92757861
0.29320358,0.92757861
0.29374999,0.92748553
0.29374999,0.92748553
0.29451577,0.92735924
0.29451577,0.92735924
0.29588332,0.92713334
0.29588332,0.92713334
0.296875,0.92696989
0.296875,0.92696989
0.2982487,0.92675132
0.2982487,0.92675132
0.29857433,0.92669934
0.29857433,0.92669934
0.30000001,0.92647278
0.30000001,0.92647278
0.30127641,0.92627643
0.30127641,0.92627643
0.3019525,0.92617252
0.3019525,0.92617252
0.30312499,0.92599219
0.30312499,0.92599219
0.30398893,0.92586395
0.30398893,0.92586395
0.30562817,0.92562185
0.30562817,0.92562185
0.30625001,0.92552966
0.30625001,0.92552966
0.30671318,0.92546318
0.30671318,0.92546318
0.30927933,0.92509567
0.30927933,0.92509567
0.30937499,0.92508195
0.30937499,0.92508195
0.30944697,0.92507199
0.30944697,0.92507199
0.30996875,0.92500001
0.30996875,0.92500001
0.31219314,0.92469315
0.31219314,0.92469315
0.3125,0.92465087
0.3125,0.92465087
0.31290261,0.9245974
0.31290261,0.9245974
0.31494971,0.92432471
0.31494971,0.92432471
0.31562501,0.9242351
0.31562501,0.9242351
0.31650293,0.92412208
0.31650293,0.92412208
0.31771574,0.92396575
0.31771574,0.92396575
