r,rho,v,P
0.2983047407903006,0.020312006257953562,0.10656997153169674,0.043093864043142846
0.29837874345345444,0.02033727235152896,0.10659646574843448,0.043093963101934946
0.29845274611660827,0.02036256368921699,0.1066229600776045,0.0430940623166765
0.29852674877976204,0.020387880290250446,0.1066494545193742,0.043094161687558266
0.29860075144291587,0.020413222173872755,0.10667594907391129,0.04309426121477124
0.29867475410606964,0.020438589359338,0.10670244374138356,0.04309436089850655
0.2987487567692235,0.020463981865910915,0.10672893852195917,0.043094460738955634
0.2988227594323773,0.02048939971286689,0.10675543341580629,0.043094560736309954
0.29889676209553107,0.020514842919491977,0.10678192842309345,0.04309466089076132
0.29897076475868495,0.020540311505082905,0.10680842354398938,0.0430947612025017
0.2990447674218387,0.02056580548894707,0.1068349187786629,0.043094861671723196
0.29911877008499255,0.020591324890402548,0.10686141412728317,0.04309496229861818
0.2991927727481463,0.020616869728778103,0.10688790959001948,0.04309506308337919
0.29926677541130015,0.020642440023413183,0.10691440516704138,0.04309516402619898
0.299340778074454,0.020668035793657932,0.10694090085851861,0.04309526512727047
0.29941478073760774,0.0206936570588732,0.10696739666462106,0.0430953663867868
0.29948878340076157,0.02071930383843053,0.10699389258551897,0.04309546780494132
0.2995627860639154,0.020744976151712186,0.10702038862138266,0.043095569381927545
0.29963678872706917,0.02077067401811114,0.1070468847723827,0.043095671117939195
0.299710791390223,0.02079639745703109,0.10707338103868991,0.043095773013170226
0.2997847940533768,0.020822146487886457,0.10709987742047528,0.043095875067814746
0.2998587967165306,0.02084792113010239,0.10712637391790998,0.04309597728206708
0.2999327993796844,0.020873721403114776,0.10715287053116548,0.04309607965612177
0.30000680204283825,0.020899547326370244,0.10717936726041344,0.043096182190173526
0.3000808047059921,0.020925398919326172,0.10720586410582565,0.043096284884417274
0.30015480736914585,0.020951276201450684,0.10723236106757418,0.043096387739048114
0.3002288100322997,0.020977179192222663,0.10725885814583132,0.0430964907542614
0.3003028126954535,0.021003107911131757,0.10728535534076955,0.04309659393025264
0.3003768153586073,0.02102906237767838,0.10731185265256155,0.04309669726721753
0.3004508180217611,0.021055042611373715,0.10733835008138023,0.043096800765352036
0.30052482068491493,0.021081048631739725,0.10736484762739874,0.04309690442485225
0.3005988233480687,0.02110708045830916,0.10739134529079038,0.043097008245914475
0.3006728260112225,0.02113313811062555,0.10741784307172872,0.043097112228735274
0.30074682867437635,0.021159221608243226,0.10744434097038753,0.04309721637351134
0.3008208313375302,0.021185330970727317,0.10747083898694078,0.04309732068043961
0.30089483400068395,0.02121146621765375,0.10749733712156263,0.04309742514971717
0.3009688366638377,0.021237627368609274,0.10752383537442751,0.04309752978154138
0.3010428393269916,0.021263814443191437,0.1075503337457101,0.04309763457610978
0.3011168419901454,0.021290027461008616,0.10757683223558515,0.04309773953362005
0.3011908446532992,0.021316266441680012,0.10760333084422773,0.043097844654270134
0.30126484731645303,0.02134253140483566,0.10762982957181313,0.043097949938258176
0.3013388499796068,0.021368822370116423,0.10765632841851679,0.04309805538578247
0.30141285264276063,0.02139513935717401,0.10768282738451446,0.04309816099704159
0.3014868553059144,0.021421482385670976,0.10770932646998199,0.043098266772234245
0.30156085796906823,0.02144785147528073,0.10773582567509556,0.043098372711559384
0.30163486063222206,0.02147424664568753,0.10776232500003151,0.04309847881521615
0.30170886329537583,0.021500667916586506,0.10778882444496637,0.04309858508340385
0.3017828659585297,0.021527115307683652,0.10781532401007698,0.04309869151632209
0.3018568686216835,0.021553588838695837,0.10784182369554027,0.04309879811417055
0.30193087128483725,0.021580088529350804,0.10786832350153344,0.04309890487714921
0.3020048739479911,0.021606614399387183,0.10789482342823399,0.04309901180545824
0.3020788766111449,0.021633166468554493,0.10792132347581952,0.043099118899297975
0.30215287927429874,0.021659744756613145,0.10794782364446794,0.043099226158868985
0.3022268819374525,0.021686349283334457,0.10797432393435726,0.043099333584372006
0.30230088460060633,0.021712980068500646,0.10800082434566584,0.04309944117600805
0.30237488726376016,0.021739637131904837,0.1080273248785722,0.043099548933978264
0.30244888992691393,0.02176632049335108,0.10805382553325502,0.04309965685848401
0.30252289259006776,0.02179303017265434,0.10808032630989331,0.04309976494972689
0.3025968952532216,0.02181976618964051,0.10810682720866624,0.04309987320790869
0.30267089791637536,0.021846528564146414,0.10813332822975319,0.043099981633231366
0.3027449005795292,0.02187331731601982,0.10815982937333381,0.043100090225897156
0.302818903242683,0.021900132465119435,0.10818633063958791,0.04310019898610843
0.3028929059058368,0.021926974031314907,0.10821283202869551,0.04310030791406779
0.3029669085689906,0.021953842034486852,0.10823933354083695,0.04310041700997806
0.3030409112321444,0.021980736494526833,0.10826583517619268,0.04310052627404223
0.30311491389529827,0.022007657431337386,0.10829233693494347,0.04310063570646358
0.30318891655845204,0.02203460486483201,0.1083188388172702,0.04310074530744545
0.30326291922160586,0.02206157881493519,0.10834534082335405,0.043100855077191524
0.3033369218847597,0.02208857930158238,0.1083718429533764,0.043100965015905636
0.30341092454791346,0.022115606344720033,0.10839834520751883,0.04310107512379179
0.3034849272110673,0.022142659964305582,0.10842484758596321,0.043101185401054294
0.30355892987422106,0.022169740180307464,0.10845135008889153,0.043101295847897556
0.3036329325373749,0.022196847012705117,0.1084778527164861,0.04310140646452627
0.3037069352005287,0.02222398048148899,0.10850435546892939,0.0431015172511453
0.3037809378636825,0.02225114060666054,0.10853085834640411,0.04310162820795969
0.30385494052683637,0.022278327408232254,0.10855736134909322,0.043101739335174784
0.30392894318999014,0.022305540906227633,0.10858386447717981,0.043101850632996
0.3040029458531439,0.022332781120681214,0.10861036773084733,0.04310196210162908
0.30407694851629774,0.022360048071638567,0.10863687111027935,0.04310207374127994
0.30415095117945157,0.022387341779156307,0.10866337461565972,0.04310218555215468
0.3042249538426054,0.02241466226330209,0.10868987824717247,0.043102297534459606
0.30429895650575917,0.022442009544154633,0.10871638200500186,0.043102409688401254
0.304372959168913,0.022469383641803706,0.10874288588933244,0.04310252201418638
0.3044469618320668,0.02249678457635014,0.1087693899003489,0.04310263451202192
0.3045209644952206,0.02252421236790584,0.10879589403823618,0.043102747182115014
0.3045949671583744,0.02255166703659378,0.1088223983031795,0.043102860024673055
0.30466896982152825,0.022579148602548022,0.10884890269536422,0.043102973039903604
0.304742972484682,0.022606657085913705,0.10887540721497596,0.04310308622801442
0.30481697514783584,0.022634192506847065,0.10890191186220058,0.04310319958921353
0.30489097781098967,0.022661754885515435,0.10892841663722416,0.04310331312370911
0.30496498047414344,0.022689344242097245,0.10895492154023298,0.04310342683170957
0.30503898313729727,0.02271696059678204,0.1089814265714136,0.04310354071342354
0.30511298580045104,0.02274460396977047,0.10900793173095276,0.04310365476905984
0.3051869884636049,0.022772274381274316,0.10903443701903749,0.04310376899882755
0.3052609911267587,0.022799971851516474,0.1090609424358549,0.04310388340293585
0.3053349937899125,0.02282769640073097,0.10908744798159249,0.04310399798159424
0.30540899645306635,0.022855448049162973,0.10911395365643792,0.0431041127350124
0.3054829991162201,0.022883226817068787,0.10914045946057906,0.04310422766340018
0.30555700177937395,0.02291103272471587,0.10916696539420404,0.0431043427669677
0.3056310044425278,0.022938865792382822,0.10919347145750122,0.043104458045925255
0.30570500710568155,0.022966726040359414,0.10921997765065912,0.04310457350048334
0.3057790097688354,0.02299461348894657,0.1092464839738666,0.04310468913085272
0.30585301243198915,0.023022528158456394,0.10927299042731266,0.043104804937244286
0.305927015095143,0.023050470069212157,0.1092994970111866,0.04310492091986923
0.3060010177582968,0.023078439241548312,0.10932600372567787,0.04310503707893889
0.30607502042145057,0.023106435695810505,0.10935251057097618,0.04310515341466483
0.30614902308460445,0.023134459452355566,0.10937901754727154,0.043105269927258875
0.3062230257477582,0.02316251053155153,0.10940552465475405,0.043105386616932966
0.30629702841091205,0.023190588953777628,0.10943203189361418,0.043105503483899354
0.3063710310740658,0.02321869473942431,0.10945853926404253,0.04310562052837044
0.30644503373721965,0.023246827908893236,0.10948504676623,0.043105737750558884
0.3065190364003735,0.02327498848259728,0.10951155440036768,0.04310585515067752
